bed,bath,acre_lot,city,state,zip_code,house_size,price
4.0,3.0,0.79,Shirley,Massachusetts,1464.0,2903.0,689900.0
3.0,3.0,21.0,Granville,Massachusetts,1034.0,3362.0,649000.0
3.0,3.0,21.67,Grafton,Massachusetts,1536.0,1846.0,535000.0
3.0,2.0,1.5,Rindge,New Hampshire,3461.0,1631.0,344900.0
9.0,2.0,0.3,Spencer,Massachusetts,1562.0,2634.0,320000.0
4.0,3.0,0.29,Marlborough,Massachusetts,1752.0,2708.0,699900.0
5.0,3.0,0.3,Enfield,Connecticut,6082.0,1772.0,294900.0
3.0,2.0,0.11,Springfield,Massachusetts,1108.0,1902.0,249900.0
6.0,2.0,0.15,Vernon,Connecticut,6066.0,3201.0,249900.0
3.0,2.0,0.12,Worcester,Massachusetts,1604.0,1225.0,214200.0
3.0,2.0,0.15,Worcester,Massachusetts,1604.0,1745.0,389900.0
3.0,2.0,0.08,Torrington,Connecticut,6790.0,2189.0,169900.0
3.0,1.0,0.6,East Hartford,Connecticut,6118.0,1562.0,225000.0
3.0,3.0,2.09,Douglas,Massachusetts,1516.0,1944.0,474900.0
4.0,8.0,12.1,Worthington,Massachusetts,1098.0,14240.0,2995000.0
4.0,3.0,0.29,Chicopee,Massachusetts,1020.0,1514.0,249900.0
3.0,3.0,0.1,Worcester,Massachusetts,1604.0,2094.0,299900.0
4.0,4.0,4.19,Stafford,Connecticut,6076.0,2166.0,285000.0
2.0,1.0,0.34,Auburn,Massachusetts,1501.0,1075.0,349900.0
